company_id,ticker,avg_daily_return,return_volatility,avg_volume
517,FALC,0.26311500066146254,3.471998305365885,1421
427,DJCO,0.13334812086144457,4.789569655362297,2596
343,COST,0.12626670063405798,3.99507336885192,2430422
1314,SLVM,0.11519474178165591,1.1531188142606725,571312
933,MLAB,0.11392178361502803,4.192499419031883,29587
951,MORN,0.10350832159908802,2.6747743801331345,90155
755,INTG,0.09828087474512255,0.9427330085851715,2208
997,NICE,0.09295330972209222,2.556629534538582,210536
34,ADP,0.09177418126874004,1.9931942719230513,2054462
424,DHIL,0.08373809921211335,2.508718753111756,11712
