ticker,year,month_name,sentiment,news_count,avg_daily_return
CMCSA,2021,October,positive,4,1.1599998474121094
CMCSA,2022,January,negative,2,2.539997100830078
CME,2012,February,positive,2,1.3660011291503835
CME,2012,October,positive,4,-1.2999992370605469
CME,2013,March,neutral,2,-0.9099998474121094
CME,2013,November,positive,2,0.8499984741210938
CME,2015,October,negative,2,0.1100006103515625
CME,2018,March,positive,2,3.220001220703125
CPRT,2009,March,negative,2,-0.10500001907348677
CPRT,2010,January,negative,2,-0.006249904632568359
CPRT,2010,September,negative,2,0.0025000572204589844
CPRT,2019,May,positive,4,-0.7150001525878906
CPRT,2019,November,positive,2,-0.039997100830078125
CPRT,2020,February,negative,2,0.15000152587890625
CPRT,2020,January,neutral,2,0.020000457763671875
CPRT,2020,May,positive,2,-0.009998321533203125
CSCO,2022,November,negative,2,-0.1399993896484375
CSGP,2013,May,neutral,2,-0.20899963378906072
CSGP,2017,September,neutral,2,-0.008998870849605822
CSGP,2018,March,positive,2,0.2989997863769531
CSGP,2018,May,positive,2,0.253997802734375
CSGP,2018,November,negative,2,-0.6870002746582031
CSGP,2019,August,negative,2,-0.368000030517571
CSGP,2020,December,negative,2,2.6399993896484233
CSGP,2020,October,neutral,2,-1.0670013427734375
CSGP,2021,January,negative,2,0.1199951171875
CSGP,2021,January,neutral,2,0.1199951171875
CTSH,2017,January,neutral,2,0.5600013732910085
CTSH,2019,February,negative,2,-0.6800003051757812
CTSH,2022,July,neutral,2,0.7900009155273438
CTSH,2022,July,positive,2,-0.779998779296875
CZR,2017,November,positive,2,0.14999961853027344
CZR,2020,September,negative,2,0.15999984741210938
CZR,2020,September,positive,2,4.860000610351555
CZR,2021,August,positive,2,-1.160003662109375
CZR,2022,August,negative,2,3.569999694824226
DLTR,2021,August,negative,4,-1.4900016784667898
DLTR,2021,June,positive,2,-0.28000640869142046
DLTR,2021,November,neutral,4,1.1650009155273438
DLTR,2021,November,positive,2,6.089996337890625
DLTR,2022,August,positive,2,-0.0200042724609375
